업소명,업태,주소,원본_위도,원본_경도,VWorld_위도,VWorld_경도,오차_m
그랜드장,여관업,전북특별자치도 부안군 행안면 변산로 64,35.7295345,126.7141893,35.7293429,126.7140408,25
궁전모텔,여관업,전북특별자치도 부안군 상서면 노적길 10-10,35.6588309,126.6143849,35.6590560,126.6143957,25
항도장,여관업,전북특별자치도 군산시 구영7길 69 (신창동),35.9869052,126.7102390,35.9867690,126.7104598,25
채석강리조트,여관업,"전북특별자치도 부안군 변산면 채석강길 19-1, 채석강리조트",35.6276097,126.4706065,35.6273888,126.4706350,25
나린 풀빌라,숙박업(생활),전북특별자치도 무주군 설천면 외배방길 7,35.9075820,127.7592948,35.9075440,127.7590316,24
무주펜션 나마스테,숙박업(생활),"전북특별자치도 무주군 설천면 구천동1로 83, B동 1.2층 3,4호",35.9006377,127.7772240,35.9007754,127.7770187,24
힐사이드산장,여관업,전북특별자치도 무주군 설천면 구천동1로 83,35.9006377,127.7772240,35.9007754,127.7770187,24
인월산장,여관업,전북특별자치도 무주군 설천면 구천동1로 83 (B동1층2호.2층2호),35.9006377,127.7772240,35.9007754,127.7770187,24
빌라드 무주,숙박업 기타,"전북특별자치도 무주군 설천면 양지길 92-5, 빌라드 무주",36.0015295,127.7873708,36.0013190,127.7874111,24
보보스,여관업,전북특별자치도 군산시 가도2길 19 (오식도동),35.9481825,126.5695705,35.9481211,126.5693192,24
고리포190펜션,숙박업(생활),전북특별자치도 고창군 상하면 고리포길 192-10,35.4345232,126.4343708,35.4343764,126.4345536,23
강천각여관,여관업,전북특별자치도 순창군 팔덕면 강천산길 85,35.4085976,127.0686950,35.4085574,127.0689467,23
석정힐링카운티 203동,숙박업(생활),전북특별자치도 고창군 고창읍 석정2로 233-25,35.4316818,126.7461550,35.4317339,126.7464026,23
선유도리조트,숙박업(생활),"전북특별자치도 군산시 옥도면 선유북길 129-6, 1, 2동",35.8136675,126.4097554,35.8134624,126.4097889,23
신라파크장,여관업,전북특별자치도 정읍시 중앙2길 6 (수성동),35.5682511,126.8513698,35.5680464,126.8513638,23
투투모텔,여관업,전북특별자치도 군산시 조촌안2길 31 (경장동),35.9713340,126.7342061,35.9711300,126.7341852,23
광산모텔,여관업,전북특별자치도 무주군 설천면 만선로 52 (번지(2-3층)),35.9084306,127.7549561,35.9085103,127.7551884,23
에덴파크텔,여관업,전북특별자치도 진안군 진안읍 마이산로 106,35.7770890,127.4182736,35.7772884,127.4182293,23
필모텔,여관업,전북특별자치도 고창군 흥덕면 잿말길 87-4,35.5278676,126.7064263,35.5279944,126.7066173,22
칼튼힐,일반호텔,전북특별자치도 전주시 덕진구 용산3길 35 (금암동),35.8347440,127.1344822,35.8349308,127.1344007,22
옥수장여관,여관업,"전북특별자치도 고창군 흥덕면 선운대로 3813, 옥수모텔",35.5228332,126.7072584,35.5229392,126.7070533,22
신라장여관,여관업,전북특별자치도 남원시 쑥고개로 25 (노암동),35.3993025,127.3798211,35.3993021,127.3795791,22
동진캐슬,여관업,전북특별자치도 부안군 변산면 궁항로 66 (외2필지),35.6041121,126.4767462,35.6041610,126.4765142,22
에이본호텔군산,일반호텔,전북특별자치도 군산시 해망로 10 (경장동),35.9761794,126.7247530,35.9763506,126.7248658,22
리틀프로방스(작은마을),숙박업 기타,전북특별자치도 무주군 설천면 구천동로 930-17,35.9075169,127.7723107,35.9074281,127.7720979,22
숲속의 정원,여관업,전북특별자치도 부안군 변산면 변산로 3730-45,35.5832990,126.5184028,35.5832040,126.5186105,22
숲무인텔,숙박업 기타,전북특별자치도 김제시 전초암길 15 (서암동),35.8060943,126.8755928,35.8062563,126.8757237,22
문화장여관,여관업,전북특별자치도 군산시 해망로 19 (대명동),35.9772477,126.7236811,35.9771594,126.7238932,21
지리산칸호텔,숙박업(생활),전북특별자치도 남원시 산내면 지리산로 815,35.3751905,127.5801974,35.3750151,127.5801042,21
크리스탈모텔,여관업,전북특별자치도 진안군 진안읍 대광길 104,35.7855349,127.4160148,35.7853695,127.4161313,21
운호관광농원(모텔),여관업,전북특별자치도 부안군 진서면 청자로 447,35.5939647,126.5670234,35.5937753,126.5670238,21
모텔 다빈치,여관업,전북특별자치도 남원시 충정로 88 (향교동),35.4141231,127.3850514,35.4141652,127.3852770,21
오성파크여관,여관업,전북특별자치도 군산시 성산면 오성로 221,36.0074697,126.7726286,36.0073734,126.7724350,20
동호비치호텔,숙박업(생활),"전북특별자치도 고창군 해리면 구동호1길 42, 동호비치호텔",35.5198610,126.4848339,35.5196852,126.4848973,20
레드온 호텔,여관업,전북특별자치도 순창군 순창읍 순창로 222,35.3747780,127.1433670,35.3746235,127.1434858,20
째즈어라운드호텔,일반호텔,전북특별자치도 전주시 덕진구 정언신로 182 (우아동2가),35.8314463,127.1733087,35.8316080,127.1734093,20
