업소명,도로명주소,원본_위도,원본_경도,VWorld_위도,VWorld_경도,오차_m
오케이종합에너지,전북특별자치도 정읍시 고부면 영원로 163,35.5904182,126.8010131,35.5904963,126.8009900,9
정원충전소,전북특별자치도 완주군 봉동읍 봉동로 824,35.981625,127.1207183,35.9817012,127.1207479,9
줄포엘피지충전소,전북특별자치도 부안군 줄포면 부안로 985,35.5971116,126.6735995,35.5971531,126.6736715,8
(유)용명에너지직영충전소,전북특별자치도 군산시 옥산면 옥산로 154,35.9491816,126.7471007,35.9492073,126.7471798,8
(유)일진엘피지충전소,전북특별자치도 전주시 완산구 우림로 1084 (중인동),35.783001,127.1072911,35.7830692,127.1072811,8
(주)피더스이엔에스,전북특별자치도 전주시 완산구 거마평로 223 (효자동1가),35.8120151,127.1136849,35.8120402,127.1137628,8
오케이완주충전소,전북특별자치도 완주군 상관면 춘향로 4082,35.7171337,127.2349938,35.7171842,127.2349383,8
김제DL충전소,전북특별자치도 김제시 공덕면 하공로 772,35.8710018,126.9107545,35.8710370,126.9106842,7
(유)고창가스충전소,전북특별자치도 고창군 고창읍 고인돌대로 1940,35.4524708,126.6966418,35.4525363,126.6966349,7
(주)한유에너지신동양충전소,전북특별자치도 익산시 목천로 29 (목천동),35.9170773,126.9320274,35.9170227,126.9320704,7
(유)하은에너지우문가스충전주유소,"전북특별자치도 전주시 덕진구 송천동2가 1186-2,1190,1191",35.8698743,127.1074556,35.8698788,127.1073879,6
용진에너지,전북특별자치도 완주군 용진읍 초포다리로 259 외1필지,35.8783315,127.1558649,35.8783317,127.1559309,6
삼례엘피지충전소,전북특별자치도 완주군 삼례읍 삼례로 297,35.9041942,127.0758591,35.9041873,127.0759204,6
벽골제LPG충전소,전북특별자치도 김제시 만경로 40 (서암동),35.810342,126.8721463,35.8103822,126.8721116,5
(유)필그린에너지,전북특별자치도 부안군 부안읍 부령로 13,35.731011,126.7450702,35.7310209,126.7451260,5
남전주IC충전소,전북특별자치도 전주시 완산구 모악로 4483 (석구동),35.7708225,127.1227188,35.7708553,127.1226867,5
순창엘피지충전소,전북특별자치도 순창군 순창읍 장류로 234-7,35.3735446,127.1296782,35.3735393,127.1296395,4
(주)나이스디앤에스지리산(광주)충전소,전북특별자치도 남원시 아영면 아곡길 15-10,35.480682,127.5704392,35.4806617,127.5704662,3
대광엘피지충전소,전북특별자치도 전주시 완산구 춘향로 4881 (색장동),35.7786707,127.1982006,35.7786503,127.1981750,3
(유)이리가스,전북특별자치도 익산시 약촌로 53 (신흥동),35.9385346,126.9775533,35.9385525,126.9775496,2
(주)가스온현대,전북특별자치도 완주군 용진읍 구억명덕로 130,35.8671974,127.1648779,35.8671957,127.1648961,2
새천년엘피지충전소,전북특별자치도 익산시 목천로 140 (목천동),35.9252842,126.9396035,35.9252929,126.9395897,2
고랑엘피지충전소,전북특별자치도 전주시 덕진구 삼례로 164 (고랑동),35.8927666,127.0775207,35.8927760,127.0775091,1
(주)나이스디앤에스오수(완주방향)충전소,전북특별자치도 임실군 오수면 순천완주고속도로 74,35.5402509,127.3115824,35.5402603,127.3115902,1
