업소명,주소,제조구분,업태,원본_위도,원본_경도,VWorld_위도,VWorld_경도,오차_m
농협전주농산물유통센타,전북특별자치도 전주시 덕진구 비석날로 20  (여의동),일반,제조,35.8530871,127.0779433,35.8541725,127.0795364,188
㈜풀무원푸드앤컬처 덕유산(상) 수소충전소,"전북특별자치도 무주군 안성면 통영대전고속도로 148, 덕유산고속도로휴게소",충전,제조,35.8160351,127.6463680,35.8176598,127.6458212,187
가온전선(주)전주공장,"전북특별자치도 전주시 덕진구 서귀로 77, 가온전선(주) (팔복동3가)",,저장소,35.8492313,127.0899477,35.8478350,127.0911074,187
가온전선(주) 전주공장,전북특별자치도 전주시 덕진구 서귀로 77 (팔복동3가),일반,저장소,35.8492313,127.0899477,35.8478350,127.0911074,187
희성전선(주),"전북특별자치도 전주시 덕진구 서귀로 77, 팔복3동 (팔복동3가)",일반,저장소,35.8492313,127.0899477,35.8478350,127.0911074,187
(주)고암,전북특별자치도 김제시 금산면 금평로 313,냉동,제조,35.7247040,126.9892283,35.7261737,126.9901259,182
롯데칠성음료(주) 군산공장,전북특별자치도 군산시 외항1길 222 (소룡동),냉동,제조,35.9744700,126.6513128,35.9736107,126.6529322,174
롯데칠성음료(주),전북특별자치도 군산시 외항1길 222 (소룡동),일반,제조,35.9744700,126.6513128,35.9736107,126.6529322,174
롯데칠성음료(주),전북특별자치도 군산시 외항1길 222 (소룡동),충전,제조,35.9744700,126.6513128,35.9736107,126.6529322,174
한국앤컴퍼니(주),"전북특별자치도 완주군 봉동읍 완주산단2로 40, ATLASBX",냉동,제조,35.9377127,127.1304640,35.9388628,127.1317474,172
한국앤컴퍼니(주),"전북특별자치도 완주군 봉동읍 완주산단2로 40, ATLASBX",냉동,제조,35.9377127,127.1304640,35.9388628,127.1317474,172
한국앤컴퍼니(주),전북특별자치도 완주군 봉동읍 완주산단2로 40,냉동,제조,35.9377127,127.1304640,35.9388628,127.1317474,172
한국앤컴퍼니(주),전북특별자치도 완주군 봉동읍 완주산단2로 40,냉동,제조,35.9377127,127.1304640,35.9388628,127.1317474,172
(주)엘지화학 생명과학 익산공장,"전북특별자치도 익산시 석암로 129, 엘지생명과학 (용제동)",냉동,제조,35.9465767,127.0061733,35.9456856,127.0046544,169
(주)엘지화학 생명과학 익산공장,전북특별자치도 익산시 석암로 129 (용제동),일반,저장소,35.9465767,127.0061733,35.9456856,127.0046544,169
로얄캐닌코리아 유한회사,전북특별자치도 김제시 백산면 지평선산단2길 72,냉동,제조,35.8505831,126.8719043,35.8495048,126.8732234,169
로얄캐닌코리아(유),전북특별자치도 김제시 백산면 지평선산단2길 72,,저장소,35.8505831,126.8719043,35.8495048,126.8732234,169
대상 주식회사(군산라이신공장),전북특별자치도 군산시 외항4길 57 (소룡동),냉동,제조,35.9780439,126.6529408,35.9791555,126.6541814,167
대상주식회사,전북특별자치도 군산시 외항4길 57 (소룡동),,저장소,35.9780439,126.6529408,35.9791555,126.6541814,167
(주)한솔케미칼 익산공장,전북특별자치도 익산시 삼기면 산단오룡길 126-25,일반,제조,36.0396324,126.9894442,36.0411278,126.9894837,166
